DATE,CC,HU,TG,PP,FG
1,5.533333333333333,80.76666666666667,9.966666666666669,9857.833333333334,32.5
2,4.6,73.93333333333334,36.53333333333333,10256.033333333333,30.766666666666666
3,5.333333333333333,68.43333333333334,52.06666666666667,10214.966666666667,47.7
4,5.066666666666666,68.5,106.76666666666668,10062.7,36.766666666666666
5,4.233333333333333,61.266666666666666,149.53333333333333,10135.766666666666,30.83333333333333
6,5.266666666666667,69.86666666666666,183.8,10144.8,28.1
7,6.133333333333334,74.3,192.76666666666668,10120.666666666666,27.3
8,3.733333333333333,70.03333333333333,203.26666666666668,10145.0,27.466666666666665
9,5.5,81.0,138.23333333333332,10133.3,38.03333333333333
10,6.2,84.6,113.46666666666668,10131.2,30.566666666666663
11,5.5,82.96666666666667,33.43333333333333,10176.566666666668,43.16666666666666
12,6.1,87.63333333333334,-10.1,10232.733333333334,37.36666666666667
13,6.166666666666667,88.0,2.0,10183.933333333332,30.633333333333333
14,6.8,81.9,-8.8,10159.533333333333,48.96666666666667
15,5.266666666666667,78.9,53.2,10142.166666666666,33.43333333333333
16,5.366666666666666,80.6,97.36666666666666,10128.933333333332,33.4
17,4.833333333333333,80.76666666666667,142.2,10137.1,40.0
18,4.1,69.03333333333333,176.46666666666667,10162.533333333333,30.366666666666667
19,4.366666666666666,74.56666666666666,193.26666666666668,10140.366666666669,31.7
20,4.266666666666667,63.1,191.16666666666663,10124.333333333334,28.566666666666663
21,4.766666666666667,76.6,179.23333333333332,10144.2,30.566666666666663
22,4.633333333333334,78.56666666666666,121.43333333333334,10163.433333333332,37.8
23,6.8,88.2,62.03333333333333,10180.633333333331,32.266666666666666
24,6.233333333333333,85.4,13.766666666666667,10186.8,35.0
25,6.533333333333333,90.63333333333334,-17.766666666666666,10232.266666666666,35.4
26,5.533333333333333,79.4,19.0,10213.966666666667,47.13333333333333
27,5.633333333333334,75.66666666666667,47.66666666666666,10220.066666666668,46.53333333333333
28,5.3,69.43333333333334,89.23333333333333,10084.6,37.03333333333333
29,3.4,62.766666666666666,173.43333333333334,10135.333333333334,31.0
30,4.166666666666667,67.36666666666666,175.13333333333333,10158.833333333334,31.23333333333333
31,4.533333333333333,69.53333333333333,176.73333333333332,10124.966666666667,34.8
32,4.533333333333333,73.06666666666666,191.4333333333333,10155.233333333334,29.2
33,3.966666666666667,73.1,181.86666666666667,10149.833333333334,27.4
34,6.266666666666667,84.46666666666667,128.93333333333334,10125.8,32.266666666666666
35,4.4,80.8,93.53333333333332,10137.1,28.933333333333334
36,6.266666666666667,90.93333333333334,44.2,10166.966666666667,25.33333333333333
37,6.033333333333333,89.26666666666667,-12.9,10130.366666666669,31.73333333333333
38,5.466666666666667,89.53333333333333,-4.7,10188.6,29.766666666666666
39,5.066666666666666,77.26666666666667,40.833333333333336,10135.1,39.13333333333333
40,5.866666666666666,78.36666666666666,80.7,10109.866666666669,36.36666666666667
41,4.533333333333333,66.53333333333333,115.9,10110.266666666666,31.066666666666663
42,5.266666666666667,66.93333333333334,158.23333333333332,10149.966666666667,35.4
43,4.1,64.86666666666666,184.8,10147.433333333332,34.8
44,4.7,70.96666666666667,199.16666666666663,10142.233333333334,29.466666666666665
45,4.7,74.96666666666667,179.9,10135.266666666666,34.6
46,5.4,83.66666666666667,130.96666666666667,10138.466666666667,28.7
47,5.5,82.13333333333334,109.76666666666668,10205.766666666666,28.966666666666665
48,6.266666666666667,72.23333333333333,15.4,10241.366666666669,35.166666666666664
49,5.466666666666667,83.2,-38.93333333333333,10249.233333333334,41.9
50,5.7,81.96666666666667,21.83333333333333,10233.966666666667,29.666666666666668
51,5.533333333333333,71.16666666666667,60.53333333333333,10137.7,54.3
52,4.2,66.76666666666667,70.23333333333333,10172.033333333333,41.46666666666667
53,6.133333333333334,66.73333333333333,117.46666666666668,10130.666666666666,34.96666666666667
54,4.533333333333333,64.83333333333333,169.8,10112.066666666668,32.3
55,3.8333333333333335,66.2,204.2,10143.666666666666,28.1
56,5.033333333333333,70.03333333333333,203.06666666666663,10120.266666666666,32.46666666666667
57,5.4,77.83333333333333,191.4333333333333,10126.5,30.73333333333333
58,4.7,78.0,128.86666666666667,10169.1,27.866666666666667
59,6.066666666666666,84.13333333333334,86.56666666666666,10128.033333333333,38.3
