DATE,RR
1.0,5.533333333333333
2.0,20.533333333333335
3.0,3.2666666666666666
4.0,14.533333333333333
5.0,2.933333333333333
6.0,6.4
7.0,1.3333333333333333
8.0,10.266666666666667
9.0,7.4
10.0,11.633333333333333
11.0,1.7333333333333334
12.0,28.533333333333335
13.0,27.133333333333333
14.0,0.6666666666666666
15.0,2.533333333333333
16.0,9.933333333333334
17.0,45.0
18.0,2.3333333333333335
19.0,3.3333333333333335
20.0,4.6
21.0,34.53333333333333
22.0,8.6
23.0,84.93333333333334
24.0,2.6666666666666665
25.0,13.266666666666667
26.0,11.466666666666667
27.0,1.4666666666666666
28.0,11.733333333333333
29.0,14.533333333333333
30.0,27.133333333333333
31.0,1.6666666666666667
32.0,2.1333333333333333
33.0,1.8
34.0,11.466666666666667
35.0,3.0
36.0,9.933333333333334
37.0,44.2
38.0,17.866666666666667
39.0,11.066666666666666
40.0,3.1333333333333333
41.0,8.866666666666667
42.0,4.4
43.0,1.1333333333333333
44.0,8.466666666666667
45.0,1.0
46.0,8.333333333333334
47.0,10.2
48.0,26.2
49.0,0.7333333333333333
50.0,2.8
51.0,18.4
52.0,43.6
53.0,80.2
54.0,6.6
55.0,3.2
56.0,6.866666666666666
57.0,32.93333333333333
58.0,2.1333333333333333
59.0,23.266666666666666
60.0,15.933333333333334
