DATE,FG
1,45.8
2,38.166666666666664
3,59.36666666666667
4,52.5
5,51.46666666666667
6,45.93333333333333
7,53.96666666666667
8,53.266666666666666
9,49.833333333333336
10,44.96666666666667
11,47.46666666666667
12,53.4
13,37.36666666666667
14,90.1
15,51.0
16,64.83333333333333
17,41.36666666666667
18,48.6
19,47.3
20,38.06666666666667
21,36.06666666666667
22,36.53333333333333
23,55.13333333333333
24,56.03333333333333
25,43.86666666666667
26,57.56666666666667
27,56.1
28,48.5
29,36.63333333333333
30,54.666666666666664
31,52.266666666666666
32,40.96666666666667
33,40.6
34,47.4
35,34.733333333333334
36,35.96666666666667
37,43.86666666666667
38,42.63333333333333
39,54.166666666666664
40,57.43333333333333
41,56.06666666666667
42,43.96666666666667
43,47.4
44,42.5
45,48.266666666666666
46,38.733333333333334
47,37.03333333333333
48,62.13333333333333
49,43.96666666666667
50,39.0
51,58.1
52,43.666666666666664
53,55.06666666666667
54,45.86666666666667
55,45.93333333333333
56,55.63333333333333
57,46.4
58,40.0
59,37.733333333333334
60,50.233333333333334
