DATE,TG
1,91.26666666666667
2,98.36666666666666
3,129.03333333333333
4,127.73333333333333
5,181.13333333333333
6,212.6
7,246.2
8,251.6
9,203.93333333333334
10,164.76666666666668
11,113.73333333333333
12,89.6
13,88.53333333333333
14,91.06666666666666
15,122.1
16,138.46666666666667
17,167.3
18,208.43333333333334
19,238.36666666666667
20,241.33333333333334
21,229.46666666666667
22,177.73333333333332
23,131.63333333333333
24,87.1
25,79.4
26,97.0
27,127.46666666666667
28,118.86666666666666
29,165.23333333333332
30,201.93333333333334
31,218.1
32,238.23333333333332
33,229.8
34,185.6
35,143.03333333333333
36,120.13333333333334
37,96.66666666666667
38,95.46666666666667
39,112.03333333333333
40,142.03333333333333
41,142.83333333333334
42,212.1
43,238.23333333333332
44,246.26666666666668
45,237.93333333333334
46,189.56666666666666
47,167.7
48,102.5
49,57.666666666666664
50,93.16666666666667
51,113.53333333333333
52,133.13333333333333
53,152.8
54,178.06666666666666
55,221.76666666666668
56,231.5
57,225.76666666666668
58,193.26666666666668
59,162.06666666666666
60,120.1
