DATE,HU
1,80.76666666666667
2,73.93333333333334
3,68.43333333333334
4,68.5
5,61.266666666666666
6,69.86666666666666
7,74.3
8,70.03333333333333
9,81.0
10,84.6
11,82.96666666666667
12,87.63333333333334
13,88.0
14,81.9
15,78.9
16,80.6
17,80.76666666666667
18,69.03333333333333
19,74.56666666666666
20,63.1
21,76.6
22,78.56666666666666
23,88.2
24,85.4
25,90.63333333333334
26,79.4
27,75.66666666666667
28,69.43333333333334
29,62.766666666666666
30,67.36666666666666
31,69.53333333333333
32,73.06666666666666
33,73.1
34,84.46666666666667
35,80.8
36,90.93333333333334
37,89.26666666666667
38,89.53333333333333
39,77.26666666666667
40,78.36666666666666
41,66.53333333333333
42,66.93333333333334
43,64.86666666666666
44,70.96666666666667
45,74.96666666666667
46,83.66666666666667
47,82.13333333333334
48,72.23333333333333
49,83.2
50,81.96666666666667
51,71.16666666666667
52,66.76666666666667
53,66.73333333333333
54,64.83333333333333
55,66.2
56,70.03333333333333
57,77.83333333333333
58,78.0
59,84.13333333333334
60,87.03333333333333
61,90.03333333333333
62,89.03333333333333
63,81.53333333333333
64,65.73333333333333
65,58.43333333333333
66,67.5
67,65.6
68,66.2
69,60.6
70,73.36666666666666
71,81.43333333333334
72,87.5
73,86.16666666666667
74,87.36666666666666
75,73.63333333333334
76,76.6
77,67.0
78,66.56666666666666
79,72.76666666666667
80,71.5
81,70.13333333333334
82,76.76666666666667
83,85.8
84,88.43333333333334
85,91.16666666666667
86,82.86666666666666
87,83.86666666666666
88,75.46666666666667
89,76.5
90,77.36666666666666
91,74.8
92,77.66666666666667
93,76.63333333333334
94,80.16666666666667
95,80.23333333333333
96,88.3
97,88.2
98,89.93333333333334
99,85.36666666666666
100,78.26666666666667
101,71.36666666666666
102,62.13333333333333
103,69.56666666666666
104,68.0
105,65.16666666666667
106,69.46666666666667
107,77.16666666666667
108,77.96666666666667
109,87.66666666666667
110,82.06666666666666
111,76.76666666666667
112,75.13333333333334
113,62.2
114,52.766666666666666
115,64.53333333333333
116,66.63333333333334
117,66.93333333333334
118,80.6
119,80.86666666666666
120,85.13333333333334
121,86.1
122,89.93333333333334
123,82.33333333333333
124,72.36666666666666
125,75.63333333333334
126,71.43333333333334
127,67.2
128,68.76666666666667
129,74.1
130,73.6
131,78.8
132,83.93333333333334
133,81.5
134,84.8
135,85.56666666666666
136,84.43333333333334
137,76.26666666666667
138,61.1
139,71.06666666666666
140,72.86666666666666
141,70.03333333333333
142,73.56666666666666
143,77.4
144,79.3
145,84.4
146,82.03333333333333
147,84.43333333333334
148,78.9
149,69.9
150,69.3
151,74.43333333333334
152,75.03333333333333
153,66.13333333333334
154,74.0
155,73.9
156,79.56666666666666
157,81.5
158,84.8
159,86.0
160,82.06666666666666
161,67.83333333333333
162,64.16666666666667
163,63.06666666666667
164,68.7
165,69.9
166,75.7
167,75.76666666666667
168,80.53333333333333
169,88.56666666666666
170,89.46666666666667
171,84.0
172,80.73333333333333
173,81.13333333333334
174,72.86666666666666
175,67.46666666666667
176,74.9
177,74.6
178,73.0
179,75.4
180,83.46666666666667
181,86.33333333333333
182,90.73333333333333
