DATE,RR
1.0,45.8
2.0,38.166666666666664
3.0,59.36666666666667
4.0,52.5
5.0,51.46666666666667
6.0,45.93333333333333
7.0,53.96666666666667
8.0,53.266666666666666
9.0,49.833333333333336
10.0,44.96666666666667
11.0,47.46666666666667
12.0,53.4
13.0,37.36666666666667
14.0,90.1
15.0,51.0
16.0,64.83333333333333
17.0,41.36666666666667
18.0,48.6
19.0,47.3
20.0,38.06666666666667
21.0,36.06666666666667
22.0,36.53333333333333
23.0,55.13333333333333
24.0,56.03333333333333
25.0,43.86666666666667
26.0,57.56666666666667
27.0,56.1
28.0,48.5
29.0,36.63333333333333
30.0,54.666666666666664
31.0,52.266666666666666
32.0,40.96666666666667
33.0,40.6
34.0,47.4
35.0,34.733333333333334
36.0,35.96666666666667
37.0,43.86666666666667
38.0,42.63333333333333
39.0,54.166666666666664
40.0,57.43333333333333
41.0,56.06666666666667
42.0,43.96666666666667
43.0,47.4
44.0,42.5
45.0,48.266666666666666
46.0,38.733333333333334
47.0,37.03333333333333
48.0,62.13333333333333
49.0,43.96666666666667
50.0,39.0
51.0,58.1
52.0,43.666666666666664
53.0,55.06666666666667
54.0,45.86666666666667
55.0,45.93333333333333
56.0,55.63333333333333
57.0,46.4
58.0,40.0
59.0,37.733333333333334
60.0,50.233333333333334
