DATE,CC
1,5.533333333333333
2,4.6
3,5.333333333333333
4,5.066666666666666
5,4.233333333333333
6,5.266666666666667
7,6.133333333333334
8,3.7333333333333334
9,5.5
10,6.2
11,5.5
12,6.1
13,6.166666666666667
14,6.8
15,5.266666666666667
16,5.366666666666666
17,4.833333333333333
18,4.1
19,4.366666666666666
20,4.266666666666667
21,4.766666666666667
22,4.633333333333334
23,6.8
24,6.233333333333333
25,6.533333333333333
26,5.533333333333333
27,5.633333333333334
28,5.3
29,3.4
30,4.166666666666667
31,4.533333333333333
32,4.533333333333333
33,3.966666666666667
34,6.266666666666667
35,4.4
36,6.266666666666667
37,6.033333333333333
38,5.466666666666667
39,5.066666666666666
40,5.866666666666666
41,4.533333333333333
42,5.266666666666667
43,4.1
44,4.7
45,4.7
46,5.4
47,5.5
48,6.266666666666667
49,5.466666666666667
50,5.7
51,5.533333333333333
52,4.2
53,6.133333333333334
54,4.533333333333333
55,3.8333333333333335
56,5.033333333333333
57,5.4
58,4.7
59,6.066666666666666
60,6.6
61,7.0
62,6.3
63,4.233333333333333
64,4.233333333333333
65,4.266666666666667
66,4.366666666666666
67,4.333333333333333
68,4.5
69,3.2333333333333334
70,3.5
71,5.366666666666666
72,6.4
73,5.766666666666667
74,6.6
75,5.9
76,5.566666666666666
77,4.733333333333333
78,5.0
79,5.433333333333334
80,4.866666666666666
81,3.6
82,4.133333333333334
83,5.4
84,7.433333333333334
85,5.7
86,5.5
87,5.933333333333334
88,5.133333333333334
89,4.733333333333333
90,5.0
91,4.433333333333334
92,4.966666666666667
93,4.8
94,5.266666666666667
95,3.933333333333333
96,6.233333333333333
97,6.666666666666667
98,6.666666666666667
99,5.4
100,6.7
101,5.666666666666667
102,4.366666666666666
103,5.766666666666667
104,3.933333333333333
105,4.833333333333333
106,3.8333333333333335
107,4.433333333333334
108,5.066666666666666
109,6.666666666666667
110,5.933333333333334
111,6.133333333333334
112,5.066666666666666
113,4.2
114,3.2666666666666666
115,4.566666666666666
116,5.3
117,3.7333333333333334
118,5.666666666666667
119,4.966666666666667
120,5.866666666666666
121,7.1
122,6.666666666666667
123,5.5
124,4.133333333333334
125,6.2
126,4.633333333333334
127,4.2
128,5.033333333333333
129,5.1
130,4.3
131,5.866666666666666
132,4.833333333333333
133,6.266666666666667
134,6.066666666666666
135,5.966666666666667
136,6.666666666666667
137,6.8
138,2.033333333333333
139,4.633333333333334
140,5.6
141,4.433333333333334
142,4.133333333333334
143,3.7666666666666666
144,6.1
145,5.266666666666667
146,6.933333333333334
147,7.3
148,6.633333333333334
149,5.3
150,5.2
151,6.266666666666667
152,6.833333333333333
153,3.933333333333333
154,5.133333333333334
155,5.033333333333333
156,5.033333333333333
157,5.6
158,6.4
159,6.133333333333334
160,5.366666666666666
161,5.166666666666667
162,3.2666666666666666
163,4.266666666666667
164,4.866666666666666
165,4.566666666666666
166,5.1
167,3.3666666666666667
168,3.2666666666666666
169,4.066666666666666
170,5.4
171,6.2
172,5.466666666666667
173,5.366666666666666
174,4.266666666666667
175,4.233333333333333
176,5.566666666666666
177,4.033333333333333
178,4.333333333333333
179,4.133333333333334
180,4.933333333333334
181,5.9
182,7.066666666666666
